192.168.75.145,53518,202.99.96.68,53,域名解析,1/1,79B/84B,2018-04-10 16:17:50,2018-04-10 16:20:51
192.168.70.232,64678,218.30.118.6,53,域名解析,1/1,75B/91B,2018-04-10 16:17:50,2018-04-10 16:20:51
192.168.70.232,64201,218.30.118.6,53,域名解析,1/1,78B/94B,2018-04-10 16:17:50,2018-04-10 16:20:51
172.22.153.125,4975,112.90.142.107,8000,其他UDP应用,2/2,278B/277B,2018-04-10 16:17:50,2018-04-10 16:20:51
192.168.64.3,25906,193.190.148.15,53,域名解析,1/1,102B/155B,2018-04-10 16:17:50,2018-04-10 16:20:51
192.168.64.3,59804,123.207.218.164,53,域名解析,1/1,99B/255B,2018-04-10 16:17:50,2018-04-10 16:20:51
172.22.148.5,47150,140.207.128.144,53,域名解析,1/1,92B/204B,2018-04-10 16:17:50,2018-04-10 16:20:51
172.22.148.5,52488,114.114.116.138,53,域名解析,1/1,89B/140B,2018-04-10 16:17:50,2018-04-10 16:20:51
172.22.148.5,33319,111.206.9.8,53,域名解析,1/1,83B/143B,2018-04-10 16:17:50,2018-04-10 16:20:51
192.168.64.3,56101,65.55.117.48,53,域名解析,1/1,100B/116B,2018-04-10 16:17:50,2018-04-10 16:20:51
192.168.64.3,41579,113.207.76.78,53,域名解析,1/1,104B/120B,2018-04-10 16:17:50,2018-04-10 16:20:51
172.22.156.241,58660,172.22.148.5,53,域名解析,1/1,82B/146B,2018-04-10 16:17:50,2018-04-10 16:20:51
172.22.157.228,1481,124.117.217.26,34081,360安全软件更新,33/43,2.9KB/19.5KB,2018-04-10 16:14:50,2018-04-10 16:20:51
172.22.157.228,1485,61.145.49.112,10148,360安全软件更新,30/39,2.6KB/19.2KB,2018-04-10 16:14:50,2018-04-10 16:20:51
172.22.148.5,36451,180.163.19.15,53,域名解析,1/1,81B/163B,2018-04-10 16:17:50,2018-04-10 16:20:51
172.22.157.228,1479,175.3.243.129,10108,360安全软件更新,53/76,4.5KB/54KB,2018-04-10 16:14:50,2018-04-10 16:20:51
172.22.155.65,60070,182.131.9.110,9026,其他UDP应用,6/6,516B/516B,2018-04-10 16:16:50,2018-04-10 16:20:51
60.190.33.219,20576,192.168.77.22,10103,360安全软件更新,7/11,692B/1.1KB,2018-04-10 16:14:50,2018-04-10 16:20:51
192.168.70.223,57515,218.30.118.6,53,域名解析,1/1,80B/171B,2018-04-10 16:17:50,2018-04-10 16:20:51
172.22.155.103,55205,114.114.114.114,53,域名解析,2/2,154B/310B,2018-04-10 16:17:51,2018-04-10 16:20:51
192.168.64.3,53156,14.215.150.17,53,域名解析,1/1,81B/163B,2018-04-10 16:17:50,2018-04-10 16:20:51
192.168.70.232,61147,218.30.118.6,53,域名解析,1/1,73B/164B,2018-04-10 16:17:50,2018-04-10 16:20:51
192.168.75.145,22578,119.188.133.207,17788,其他UDP应用,1/0,146B/0B,2018-04-10 16:20:21,2018-04-10 16:20:51
172.22.156.113,33062,192.168.64.3,53,域名解析,1/1,92B/207B,2018-04-10 16:17:50,2018-04-10 16:20:51
172.22.157.122,17027,71.135.172.254,4772,其他UDP应用,1/0,44B/0B,2018-04-10 16:20:21,2018-04-10 16:20:51
192.168.64.3,22989,205.251.198.36,53,域名解析,1/1,102B/367B,2018-04-10 16:17:50,2018-04-10 16:20:51
172.22.157.222,16815,192.168.2.224,19458,其他UDP应用,1/0,44B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
192.168.70.232,59925,218.30.118.6,53,域名解析,1/1,73B/132B,2018-04-10 16:17:50,2018-04-10 16:20:51
172.22.156.78,17499,219.137.214.140,5158,其他UDP应用,2/0,88B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
172.22.156.59,12345,125.84.221.157,27773,迅雷,14/12,1.1KB/1.3KB,2018-04-10 16:14:50,2018-04-10 16:20:51
192.168.76.10,16368,8.8.8.8,53,域名解析,1/1,72B/105B,2018-04-10 16:17:51,2018-04-10 16:20:51
172.22.156.211,8398,111.161.93.145,9022,其他UDP应用,4/4,344B/344B,2018-04-10 16:17:50,2018-04-10 16:20:51
192.168.64.3,61816,111.161.57.58,53,域名解析,1/1,87B/168B,2018-04-10 16:17:51,2018-04-10 16:20:51
192.168.64.3,27532,120.25.118.65,53,域名解析,1/1,112B/294B,2018-04-10 16:17:50,2018-04-10 16:20:51
139.219.226.163,51921,192.168.64.3,53,域名解析,1/1,88B/88B,2018-04-10 16:17:50,2018-04-10 16:20:51
192.168.70.199,58067,101.226.4.6,53,域名解析,1/1,76B/136B,2018-04-10 16:17:50,2018-04-10 16:20:51
192.168.75.6,27199,101.226.4.6,53,域名解析,1/1,72B/168B,2018-04-10 16:17:50,2018-04-10 16:20:51
192.168.70.232,64375,218.30.118.6,53,域名解析,1/1,75B/91B,2018-04-10 16:17:50,2018-04-10 16:20:51
192.168.64.3,65443,182.254.20.44,53,域名解析,1/1,88B/464B,2018-04-10 16:17:50,2018-04-10 16:20:51
74.125.41.1,49162,192.168.64.3,53,域名解析,1/1,96B/135B,2018-04-10 16:17:50,2018-04-10 16:20:51
172.22.148.5,20744,180.163.19.15,53,域名解析,1/1,83B/196B,2018-04-10 16:17:50,2018-04-10 16:20:51
